"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_HIGH","RT_OPEN","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG"
GC.CMX,20251121,84227,4076.7,4089.4,4074.9,4018.1,4067.1,0,2,4067.1,128464,0,7.1,0.0017
SI.CMX,20251121,84226,50.355,50.555,50.395,48.05,49.295,0,1,49.295,60959,0,-1.006,-0.02
HG.CMX,20251121,84226,4.9535,4.985,4.9535,4.915,4.9745,0,1,4.9745,20788,0,0.006,0.0012
ALI.CMX,20251121,84227,2774,2798.5,2798.5,2742,2758.25,0,1,2758.25,1700,0,-24.5,-0.0088
CL.NYM,20251121,84229,58.76,58.8,58.8,57.42,58.35,0,1,58.35,127165,0,-0.65,-0.011
PL.NYM,20251121,84228,1517.6,1526.7,1517.6,1489.2,1521.4,0,3,1521.4,14598,0,4.2,0.0028
NG.NYM,20251121,84228,4.674,4.757,4.666,4.648,4.708,0,5,4.708,30021,0,0.041,0.0088
TA.CZC,20251121,215728,4666,4672,4670,4636,4642,0,95,4642,161257,0,-36,-0.0077
J.DCE,20251121,215729,1614.5,1631,1620,1596,1609,160900,1,1609,8156,1315840650,-23,-0.0141
SA.CZC,20251121,215728,1170,1173,1167,1161,1165,0,3,1165,208075,0,-6,-0.0051
S.CBT,20251121,74229,1123,1125.75,1122.5,1117.25,1119.5,0,3,1119.5,24274,0,-3,-0.0027
C.CBT,20251121,74227,437.75,438.25,437.5,436,436.75,0,7,436.75,22001,0,-1,-0.0023
W.CBT,20251121,74221,541.25,541.5,541.5,535.75,539.25,0,12,539.25,9154,0,-1.5,-0.0028
ZE.CBT,20251120,165503,0,0,0,0,0,0,0,0,0,0,0,0
LH.DCE,20251121,150245,11440,11485,11430,11330,11350,181600,1,11350,53119,9693805200,-90,-0.0079
RB.SHF,20251121,215729,3057,3060,3057,3050,3054,30540,1,3054,129603,3958811570,-6,-0.002


数据来源：Wind
