"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
000001.SH,20251121,150012,3931.05,3896.66,3912.01,3834.75,3834.89,465975000,28545100,3834.89,63164625100,824931134700,-96.16,-0.0245,0,137,11,2186,16.1155
932000.CSI,20251121,150009,3066.78,3026.46,3049.42,2944.56,2944.56,1324519100,116158900,2944.56,41796633000,480165487800,-122.21,-0.0399,0,147,6,1847,144.9428
000852.SH,20251121,150009,7340.41,7235.33,7274.33,7067.7,7067.7,126412700,8523000,7067.7,28480069000,408671897400,-272.71,-0.0372,0,65,3,932,44.7692
000300.SH,20251121,150009,4564.95,4513.39,4527.04,4453.18,4453.61,58168000,3869900,4453.61,22285101300,481295814400,-111.34,-0.0244,0,20,6,274,13.8566
399001.SZ,20251121,150003,12980.82,12752.72,12812.38,12538.07,12538.07,3025446000,180727000,12538.07,81157893200,1140729557300,-442.75,-0.0341,0,196,16,2702,28.9805
000016.SH,20251121,150009,3008.29,2989.87,2998.81,2953.46,2955.85,8916600,154000,2955.85,6039312600,126324510500,-52.44,-0.0174,0,4,0,46,11.8812
899050.BJ,20251121,150052,1445.538,1428.362,1438.531,1376.849,1377.393,235320600,11085600,1377.393,866446800,18245273500,-68.145,-0.0471,0,22,2,260,65.0413
NDXTMC.GI,20251120,172055,2268.18,2327.6,2335.33,2215.89,2222.71,0,0,2222.71,0,0,-45.47,-0.02,0,0,0,0,35.1755
SPX.GI,20251120,170012,6642.16,6737.93,6770.35,6534.05,6538.76,0,0,6538.76,3755437500,519345335500,-103.4,-0.0156,0,150,2,350,27.7847
VIX.GI,20251120,0,23.66,20.78,28.27,19.28,26.42,0,0,26.42,0,0,2.76,0.1167,0,0,0,0,0
IXIC.GI,20251120,160002,22564.23,23057,23147.33,22043.2,22078.05,0,0,22078.05,9125706100,457125554300,-486.18,-0.0215,0,804,299,2416,39.3911
N225.GI,20251121,153003,49823.94,49251.26,49459.59,48490.03,48625.88,0,0,48625.88,0,0,-1198.06,-0.024,0,163,0,62,20.4994
HSI.HI,20251121,160852,25835.57,25460.42,25483.67,25178.63,25220.02,12361359400,646309300,25220.02,22370863800,285702283000,-615.55,-0.0238,0,4,1,82,11.4818
STI.GI,20251121,172000,4511.87,4490.96,4494.58,4461.14,4469.14,0,0,4469.14,0,0,-42.73,-0.0095,0,2,1,27,11.5403
CN.SG,20251121,211755,14867,14868,14882,14804,14881,14881,1,14881,44240,656645336,14,0.0009,0,0,0,0,0
TWII.TW,20251121,0,27426.36,26821.97,26821.97,26395.98,26434.94,0,0,26434.94,8716832000,549835000000,-991.42,-0.0361,0,257,76,701,0
RTSI.GI,20251121,162751,1025.58,1033.23,1050.03,1033.23,1037.05,0,0,1037.05,0,0,11.47,0.0112,0,0,0,0,0
GDAXI.GI,20251121,141256,23278.85,22963.17,23194.5,22943.06,23190.89,0,0,23190.89,0,0,-87.96,-0.0038,0,26,1,13,18.2004
FTSE.GI,20251121,132755,9527.65,9527.68,9527.68,9423.9,9517.85,0,0,9517.85,0,0,-9.8,-0.001,0,38,0,62,19.6805
USDCNY.IB,20251121,212645,7.1167,7.1133,7.1149,7.1082,7.1088,0,0,7.1088,0,0,-0.0079,-0.0011,0,0,0,0,0
